# Label,X/East,Y/North,Z/Altitude,X est,Y est,Z est
IMGP6584.JPG,,,,0.629814,1.871732,2.084852
IMGP6585.JPG,,,,0.454038,1.940726,2.025186
IMGP6586.JPG,,,,0.292491,1.948133,1.944560
IMGP6587.JPG,,,,0.037929,1.988497,1.832286
IMGP6588.JPG,,,,-0.182239,1.930744,1.736236
IMGP6589.JPG,,,,-0.325187,1.863192,1.643434
IMGP6590.JPG,,,,-0.516440,1.738585,1.580238
IMGP6591.JPG,,,,-0.693750,1.613019,1.555498
IMGP6592.JPG,,,,-0.780073,1.465943,1.558547
IMGP6593.JPG,,,,-0.829435,1.310123,1.582016
IMGP6594.JPG,,,,-0.933207,1.107751,1.657761
IMGP6595.JPG,,,,-1.000291,0.909040,1.720103
IMGP6596.JPG,,,,-1.014133,0.766881,1.758365
IMGP6597.JPG,,,,0.291599,1.347493,2.250114
IMGP6598.JPG,,,,0.371062,1.336907,2.162148
IMGP6599.JPG,,,,0.473107,1.265908,2.103085
IMGP6600.JPG,,,,0.622335,1.200032,2.008666
IMGP6601.JPG,,,,0.779429,1.136965,1.954955
IMGP6602.JPG,,,,0.931266,1.080505,1.957559
IMGP6603.JPG,,,,1.066819,1.053973,2.000384
IMGP6604.JPG,,,,1.169263,0.998055,2.048739
IMGP6605.JPG,,,,1.274242,0.930327,2.093384
IMGP6606.JPG,,,,1.343392,0.834179,2.136726
IMGP6607.JPG,,,,1.367909,0.722654,2.135466
IMGP6608.JPG,,,,1.381505,0.580807,2.132065
IMGP6609.JPG,,,,1.374753,0.409452,2.199162
IMGP6610.JPG,,,,1.395269,0.243497,2.286856
IMGP6611.JPG,,,,1.504503,0.119578,2.392400
IMGP6612.JPG,,,,1.602909,0.022074,2.493157
IMGP6613.JPG,,,,1.719720,-0.116236,2.538228
IMGP6614.JPG,,,,1.780374,-0.245596,2.554460
IMGP6615.JPG,,,,1.818807,-0.386665,2.564827
IMGP6616.JPG,,,,1.799361,-0.536635,2.583587
IMGP6617.JPG,,,,1.743559,-0.671983,2.621794
IMGP6618.JPG,,,,1.666272,-0.804655,2.657595
IMGP6619.JPG,,,,1.573354,-0.944813,2.690587
IMGP6620.JPG,,,,1.479086,-1.080288,2.708194
IMGP6621.JPG,,,,1.388394,-1.164761,2.728054
IMGP6622.JPG,,,,1.270285,-1.247744,2.723986
IMGP6623.JPG,,,,1.147302,-1.298529,2.671709
IMGP6624.JPG,,,,1.046529,-1.287318,2.600930
IMGP6625.JPG,,,,0.973403,-1.211309,2.516875
IMGP6626.JPG,,,,0.940056,-1.092198,2.454674
IMGP6627.JPG,,,,0.935904,-0.947692,2.385094
IMGP6628.JPG,,,,0.923984,-0.822290,2.302657
IMGP6629.JPG,,,,0.909101,-0.673547,2.226473
IMGP6630.JPG,,,,0.903791,-0.495590,2.189049
IMGP6631.JPG,,,,0.913567,-0.319928,2.213003
IMGP6632.JPG,,,,0.957520,-0.128332,2.277578
IMGP6633.JPG,,,,1.039202,0.053036,2.271678
IMGP6634.JPG,,,,1.158664,0.276472,2.244523
IMGP6635.JPG,,,,1.274065,0.558789,2.214105
IMGP6636.JPG,,,,1.360740,0.819514,2.232329
IMGP6637.JPG,,,,1.395482,1.025420,2.274894
IMGP6638.JPG,,,,1.123870,1.221338,2.290695
IMGP6639.JPG,,,,1.168133,1.149128,2.134038
IMGP6640.JPG,,,,1.226462,0.923998,2.029897
IMGP6641.JPG,,,,1.241784,0.687225,1.996841
IMGP6642.JPG,,,,1.225987,0.446372,2.000729
IMGP6643.JPG,,,,1.159528,0.196882,2.014518
IMGP6644.JPG,,,,1.084742,-0.067029,2.033074
IMGP6645.JPG,,,,1.022952,-0.330520,2.067128
IMGP6646.JPG,,,,0.988042,-0.593204,2.118951
IMGP6647.JPG,,,,0.983227,-0.832623,2.177995
IMGP6648.JPG,,,,0.927532,-1.082116,2.251580
IMGP6649.JPG,,,,0.812744,-1.293359,2.321230
IMGP6650.JPG,,,,0.381947,-0.715353,3.067569
IMGP6651.JPG,,,,0.455911,-0.737093,2.942832
IMGP6652.JPG,,,,0.574472,-0.685698,2.685024
IMGP6653.JPG,,,,0.662831,-0.582917,2.411106
IMGP6654.JPG,,,,0.739912,-0.431718,2.226529
IMGP6655.JPG,,,,0.792930,-0.217504,2.152144
IMGP6656.JPG,,,,0.822929,-0.012252,2.098567
IMGP6657.JPG,,,,0.873782,0.195740,2.046720
IMGP6658.JPG,,,,0.939174,0.449852,2.005692
IMGP6659.JPG,,,,0.953505,0.700369,1.909673
IMGP6660.JPG,,,,1.022414,0.950427,1.818243
IMGP6661.JPG,,,,0.988281,1.168014,1.721441
IMGP6662.JPG,,,,0.951228,1.378168,1.699805
IMGP6663.JPG,,,,0.511598,1.594346,1.993243
IMGP6664.JPG,,,,0.570458,1.516737,1.943789
IMGP6665.JPG,,,,0.624191,1.297408,1.811244
IMGP6666.JPG,,,,0.632816,1.073117,1.759024
IMGP6667.JPG,,,,0.577459,0.864056,1.781543
IMGP6668.JPG,,,,0.514103,0.668188,1.820178
IMGP6669.JPG,,,,0.478452,0.463970,1.865984
IMGP6670.JPG,,,,0.488465,0.230334,1.940894
IMGP6671.JPG,,,,0.516179,-0.004476,1.983833
IMGP6672.JPG,,,,0.524635,-0.245293,2.036456
IMGP6673.JPG,,,,0.482865,-0.481114,2.157996
IMGP6674.JPG,,,,0.436145,-0.666157,2.316886
IMGP6675.JPG,,,,0.192606,-0.711531,2.726361
IMGP6676.JPG,,,,0.301809,-0.670344,2.485963
IMGP6677.JPG,,,,0.295748,-0.489111,2.271593
IMGP6678.JPG,,,,0.235882,-0.349802,2.128524
IMGP6679.JPG,,,,0.196585,-0.162347,1.997425
IMGP6680.JPG,,,,0.127790,0.065536,1.901771
IMGP6681.JPG,,,,0.103221,0.301297,1.811757
IMGP6682.JPG,,,,0.152778,0.548466,1.726176
IMGP6683.JPG,,,,0.195627,0.803882,1.665928
IMGP6684.JPG,,,,0.223807,1.068356,1.630994
IMGP6685.JPG,,,,0.625082,1.023419,2.387645
IMGP6686.JPG,,,,0.674009,0.972151,2.317190
IMGP6687.JPG,,,,0.742293,0.847665,2.198496
IMGP6688.JPG,,,,0.791887,0.677581,2.070633
IMGP6689.JPG,,,,0.872830,0.449556,2.012485
IMGP6690.JPG,,,,0.911767,0.220793,1.976611
IMGP6691.JPG,,,,0.915531,0.019869,1.974227
IMGP6692.JPG,,,,0.901317,-0.157081,1.981065
IMGP6693.JPG,,,,0.868575,-0.336002,2.015887
IMGP6694.JPG,,,,0.882395,-0.472051,2.058734
IMGP6695.JPG,,,,0.881083,-0.633806,2.089813
IMGP6696.JPG,,,,0.898143,-0.822028,2.137989
IMGP6697.JPG,,,,0.904053,-0.970074,2.196702
IMGP6698.JPG,,,,0.972039,-1.153743,2.290187
IMGP6699.JPG,,,,1.103490,-1.249378,2.434397
IMGP6700.JPG,,,,1.216853,-1.231470,2.551606
IMGP6701.JPG,,,,1.401139,-1.131500,2.659225
IMGP6702.JPG,,,,1.512382,-1.007572,2.750344
IMGP6703.JPG,,,,1.602789,-0.866393,2.825622
IMGP6704.JPG,,,,1.693253,-0.600620,2.834355
IMGP6705.JPG,,,,1.691776,-0.401397,2.988001
IMGP6706.JPG,,,,1.682303,-0.260771,3.150724
IMGP6707.JPG,,,,1.487645,0.844919,3.178439
IMGP6708.JPG,,,,1.395384,0.792679,3.125086
IMGP6709.JPG,,,,1.278603,0.703653,3.113384
IMGP6710.JPG,,,,1.199147,0.601536,3.165142
IMGP6711.JPG,,,,0.507116,-0.039595,3.034134
IMGP6712.JPG,,,,0.408821,-0.128329,3.004717
