# Label	X est	Y est	Z est
point 344	0.585169	1.151189	0.730404
point 345	0.587309	1.158927	0.774201
point 346	0.695358	1.096403	0.720095
point 347	0.736142	1.120603	0.730509
point 348	0.667082	1.126231	0.747306
point 349	0.663794	1.102343	0.789156
point 35	0.565612	0.535429	0.966269
point 350	0.722242	1.105596	0.777421
point 351	0.706858	1.112491	0.786374
point 352	0.744945	1.100419	0.7659
point 353	0.677808	1.093641	0.801399
point 354	0.520769	1.177011	0.613196
point 355	0.463409	1.246706	0.6003
point 356	0.436054	1.263856	0.596033
point 357	0.441983	1.265214	0.629739
point 358	0.483419	1.221917	0.67262
point 359	0.478362	1.231322	0.669686
point 36	0.382482	0.536814	1.138994
point 360	0.501877	1.150414	0.784568
point 361	0.509408	1.133641	0.817947
point 362	0.492809	1.137889	0.821716
point 363	0.473624	1.141288	0.805591
point 364	0.481172	1.133247	0.823626
point 365	0.439125	1.141147	0.807723
point 366	0.442275	1.153264	0.794541
point 367	0.426755	1.168134	0.782336
point 368	0.467925	1.163084	0.765349
point 369	0.447667	1.160271	0.769583
point 37	0.390069	0.538425	1.14566
point 370	0.434307	1.172102	0.764979
point 371	0.410536	1.25733	0.720615
point 372	0.375802	1.277667	0.717535
point 373	0.374468	1.271109	0.731326
point 374	0.359261	1.272709	0.730079
point 375	0.345804	1.274967	0.73186
point 376	0.333946	1.269501	0.736326
point 377	0.378596	1.256131	0.745421
point 378	0.359039	1.256883	0.757412
point 379	0.352465	1.267362	0.750202
point 38	0.398301	0.530956	1.147239
point 380	0.357878	1.291253	0.67472
point 381	0.401818	1.283463	0.661667
point 382	0.366703	1.312664	0.658588
point 383	0.382589	1.301372	0.650342
point 384	0.344258	1.309039	0.672205
point 385	0.337219	1.304171	0.689763
point 386	0.313801	1.328911	0.654092
point 387	0.255598	1.328494	0.616442
point 388	0.182876	1.24672	0.730671
point 389	0.183468	1.26921	0.723052
point 39	0.388009	0.511026	1.072893
point 390	0.193078	1.278018	0.713277
point 391	0.22052	1.247425	0.760388
point 392	0.23819	1.25762	0.746612
point 393	0.255476	1.249271	0.746874
point 394	0.26493	1.240928	0.783585
point 395	0.286161	1.245155	0.788301
point 396	0.31138	1.238475	0.777859
point 397	0.286035	1.254196	0.750952
point 398	0.251973	1.280434	0.711227
point 399	0.254281	1.269528	0.734647
point 4	0.27388	0.184864	1.473363
point 40	0.43862	0.543929	1.077727
point 400	0.281515	1.254094	0.770811
point 401	0.294447	1.173239	0.801545
point 402	0.279162	1.17453	0.811847
point 403	0.254452	1.181137	0.818937
point 404	0.267363	1.14241	0.834527
point 405	0.139902	1.306534	0.559545
point 406	0.131586	1.29409	0.598008
point 407	0.065773	1.298237	0.51818
point 408	0.021733	1.288934	0.530148
point 409	0.044414	1.283079	0.557624
point 41	0.470991	0.590383	1.088888
point 410	0.027054	1.272936	0.556348
point 411	0.010292	1.278081	0.547384
point 412	0.054791	1.326882	0.470932
point 413	0.037286	1.332817	0.452979
point 414	0.052958	1.337654	0.453939
point 415	0.101306	1.25807	0.688364
point 416	0.078707	1.259119	0.621458
point 417	0.110389	1.264569	0.682569
point 418	0.111114	1.27202	0.668953
point 419	0.098241	1.261428	0.671984
point 42	0.461371	0.596589	1.093843
point 420	0.094822	1.260187	0.681846
point 421	0.082216	1.219001	0.740282
point 422	0.087837	1.228474	0.720688
point 423	0.053069	1.223568	0.699461
point 424	0.086279	1.237373	0.653667
point 425	0.088734	1.24623	0.639936
point 426	0.070358	1.253949	0.628938
point 427	0.07084	1.191207	0.761555
point 428	0.018691	1.208155	0.716314
point 429	0.013905	1.210208	0.682348
point 43	0.461636	0.606458	1.089507
point 430	0.018636	1.21213	0.661264
point 431	0.029721	1.211283	0.701379
point 432	-0.020953	1.132446	0.64273
point 433	0.008408	1.234305	0.606183
point 434	0.041147	1.238481	0.626451
point 435	-0.053108	1.238302	0.486838
point 436	0.036757	1.26128	0.560139
point 437	0.100368	1.108842	0.806059
point 438	0.10995	1.073702	0.874679
point 439	0.174397	1.074427	0.902545
point 44	0.473258	0.616916	1.081899
